sender_id;receiver_id;nodetype;frequency;friend;workmate;neighbour;familymember;partner;colleague_association;other;knowledge;advice_freq;trust;contact_years
71;22;agroconcept_contact;0;0;1;0;0;0;0;0;;;;5
71;54;agroconcept_contact;0;0;1;1;0;0;0;0;;;;49
71;20;agroconcept_contact;0;0;1;1;0;0;0;0;;;;29
71;19;agroconcept_contact;0;0;1;0;0;0;0;0;;;;5
72;25;exchange;3;1;1;0;0;0;0;0;4;2;5;
72;102;exchange;3;0;1;0;0;0;0;0;4;2;;
72;103;exchange;3;0;1;0;0;0;0;0;4;2;4;
72;1;agroconcept_contact;2;0;1;0;0;0;0;0;;;;30
72;17;agroconcept_contact;1;0;1;0;0;0;0;1;;;;5
72;26;agroconcept_contact;3;0;1;0;0;0;0;0;;;;2
72;24;agroconcept_contact;3;1;0;0;0;0;0;0;;;;30
72;25;agroconcept_contact;3;1;0;0;0;0;0;0;;;;30
73;;exchange;4;0;0;0;0;0;0;1;2;;;
73;7;agroconcept_contact;3;0;0;1;0;0;0;0;;;;55
73;27;agroconcept_contact;2;0;1;0;0;0;0;0;;;;20
73;10;agroconcept_contact;3;0;1;0;0;0;0;0;;;;20
73;19;agroconcept_contact;1;0;0;0;0;0;0;1;;;;20
73;25;agroconcept_contact;1;0;0;0;1;0;0;0;;;;65
73;9;agroconcept_contact;0;0;1;0;0;0;0;0;;;;65
73;54;agroconcept_contact;0;0;1;0;0;0;0;0;;;;65
74;6;agroconcept_contact;0;0;0;0;0;0;0;1;;;;5
74;27;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
74;28;agroconcept_contact;0;0;1;0;0;0;0;0;;;;25
74;4;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
74;10;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
74;19;agroconcept_contact;0;0;0;0;0;0;0;1;;;;25
75;11;exchange;3;0;1;0;0;0;0;1;4;0;4;
75;104;exchange;2;0;1;0;0;0;0;1;4;0;4;
75;105;exchange;2;0;1;0;0;0;0;1;4;0;1;
75;11;agroconcept_contact;2;1;1;0;0;0;0;1;;;;12
76;14;exchange;1;0;1;0;0;0;0;1;5;0;;
76;106;exchange;2;0;0;0;0;0;0;1;4;1;4;
76;6;exchange;2;0;1;0;0;0;0;1;4;1;4;
76;107;exchange;2;0;0;0;0;0;0;1;4;1;4;
76;108;exchange;2;0;1;0;0;0;0;0;3;2;4;
76;1;exchange;2;0;1;0;0;0;0;0;3;1;4;
76;1;agroconcept_contact;2;0;1;0;0;0;0;0;;;;3
76;6;agroconcept_contact;2;0;1;0;0;0;0;1;;;;1
76;7;agroconcept_contact;2;0;1;0;0;0;0;0;;;;15
76;27;agroconcept_contact;1;0;1;0;0;0;0;0;;;;20
76;16;agroconcept_contact;1;0;1;0;0;0;0;0;;;;40
76;4;agroconcept_contact;1;0;1;0;0;0;0;0;;;;12
76;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;10
76;2;agroconcept_contact;0;0;1;0;0;0;0;0;;;;12
76;12;agroconcept_contact;1;0;1;0;0;0;0;0;;;;20
76;26;agroconcept_contact;0;0;1;0;0;0;0;0;;;;2
76;9;agroconcept_contact;1;0;1;0;0;0;0;0;;;;30
76;13;agroconcept_contact;0;0;1;0;0;0;0;0;;;;30
76;20;agroconcept_contact;1;0;1;0;0;0;0;0;;;;15
76;55;agroconcept_contact;0;0;1;0;0;0;0;0;;;;25
76;54;agroconcept_contact;1;0;1;0;0;0;0;0;;;;30
76;14;agroconcept_contact;1;0;1;0;0;0;0;0;;;;40
76;10;agroconcept_contact;0;0;1;0;0;0;0;0;;;;35
81;109;exchange;1;0;0;0;1;0;0;1;5;0;4;
81;110;exchange;2;0;0;1;0;0;0;0;5;2;4;
81;;exchange;2;0;0;0;1;0;0;1;2;0;;
81;111;exchange;4;0;0;0;1;0;0;0;5;0;4;
81;112;exchange;2;0;0;0;0;0;0;1;4;3;4;
81;113;exchange;2;0;1;0;0;0;0;0;4;2;4;
81;114;exchange;3;0;0;0;1;0;0;0;4;3;4;
81;115;exchange;3;0;1;1;0;0;0;0;5;0;4;
77;5;agroconcept_contact;2;1;0;0;0;0;0;1;;;;45
77;16;agroconcept_contact;1;0;1;0;0;0;0;0;;;;30
77;4;agroconcept_contact;2;0;1;0;0;0;0;0;;;;7
77;17;agroconcept_contact;0;0;1;0;0;0;0;0;;;;4
77;22;agroconcept_contact;2;0;1;0;0;0;0;0;;;;8
77;19;agroconcept_contact;1;0;1;0;0;0;0;0;;;;8
78;;exchange;3;0;1;0;0;0;0;0;2;0;1;
78;66;exchange;3;0;1;0;0;0;0;0;5;2;5;
78;68;exchange;3;0;1;0;0;0;0;0;5;2;5;
78;79;exchange;1;0;1;0;0;0;0;0;4;1;4;
78;27;exchange;2;0;1;0;0;0;0;0;5;1;4;
78;116;exchange;1;0;1;0;0;0;0;0;4;1;4;
78;117;exchange;3;0;1;0;0;0;0;0;5;3;5;
78;23;agroconcept_contact;0;1;0;0;1;0;0;0;;;;25
78;7;agroconcept_contact;0;0;0;0;0;0;1;0;;;;15
78;21;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
78;27;agroconcept_contact;1;1;1;0;0;0;0;0;;;;15
78;18;agroconcept_contact;0;1;1;0;0;0;0;0;;;;15
78;5;agroconcept_contact;0;0;1;0;0;0;0;0;;;;20
78;12;agroconcept_contact;0;1;1;0;0;0;0;0;;;;10
78;9;agroconcept_contact;0;1;1;0;0;0;1;0;;;;15
78;13;agroconcept_contact;0;1;1;0;0;0;0;0;;;;15
78;15;agroconcept_contact;0;1;1;0;0;0;0;0;;;;10
78;20;agroconcept_contact;0;1;0;0;0;0;1;0;;;;5
78;55;agroconcept_contact;0;1;1;0;0;0;1;0;;;;15
78;14;agroconcept_contact;0;1;1;0;0;0;1;0;;;;10
78;10;agroconcept_contact;0;0;1;0;0;0;0;1;;;;15
78;19;agroconcept_contact;0;1;1;0;0;0;0;0;;;;15
79;118;exchange;2;0;1;1;0;0;0;0;3;1;5;
