sender_id;receiver_id;frequency;friend;workmate;neighbour;familymember;partner;colleague_association;other;frequency_bef;friend_bef;workmate_bef;neighbour_bef;familymember_bef;partner_bef;colleague_association_bef;other_bef;influence_part;knowledge;advice_freq;trust
15;39;3;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;2;4;1;4
16;17;4;1;1;0;1;0;0;0;5;0;0;0;1;0;0;0;2;4;5;5
16;27;3;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;2;4;2;4
16;12;3;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;2;4;2;4
18;13;4;0;1;0;0;0;0;1;4;0;1;0;0;0;0;1;1;3;0;3
18;14;5;1;1;0;0;0;1;0;5;1;1;0;0;0;1;0;4;5;4;4
18;3;2;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;4;0;4
18;21;2;0;0;1;0;0;1;1;2;0;0;1;0;0;0;1;1;4;0;4
18;19;2;0;0;0;0;0;1;1;2;0;0;0;0;0;1;1;1;4;0;4
18;41;3;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;1;4;0;4
19;7;2;0;0;0;0;0;1;1;2;0;0;0;0;0;1;1;1;4;1;5
19;3;2;0;0;0;0;0;1;0;2;0;0;0;0;0;1;0;1;4;2;5
19;12;2;1;0;0;0;0;1;0;2;1;0;0;0;0;0;0;1;4;2;5
19;14;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;5;1;5
19;22;3;1;0;1;0;0;1;0;4;1;0;1;0;0;0;0;1;4;3;5
19;17;3;1;1;0;0;0;1;0;4;1;1;0;0;0;0;0;1;4;2;5
20;1;2;0;1;0;0;0;1;0;4;0;0;0;0;0;0;1;1;4;1;4
20;7;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;;4;0;4
20;17;2;1;1;0;0;0;1;0;2;1;1;0;0;0;0;0;1;4;2;4
20;12;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;3;4;2;4
20;9;2;1;1;0;0;0;1;0;3;1;1;0;0;0;0;0;1;4;2;4
20;55;2;0;1;0;0;0;1;0;2;0;1;0;0;0;0;0;1;4;1;4
20;19;1;1;1;0;0;0;1;0;2;1;1;0;0;0;0;0;1;4;1;4
20;10;2;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;2;4;1;4
20;14;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;4;5;2;4
21;17;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;1;3;1;4
21;12;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;4;0;3
21;15;4;0;1;1;0;0;0;1;5;0;1;1;0;0;0;0;5;4;5;5
21;14;2;0;1;1;0;0;0;0;2;0;1;1;0;0;0;0;5;5;1;4
21;18;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;2;4;2;4
21;19;2;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;4;1;4
21;42;2;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;4;4;2;4
22;16;2;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;1;3;2;5
22;26;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;1;4
22;14;2;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;5;5;0;4
22;25;1;0;1;0;0;0;0;0;3;0;1;0;0;0;0;1;1;3;0;4
22;19;4;1;1;0;0;0;0;0;4;1;1;0;0;0;0;0;1;4;4;5
22;43;2;0;1;0;0;0;0;1;1;0;1;0;0;0;0;1;1;5;1;5
23;6;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;4;2;4
23;18;1;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;1;4;0;4
23;14;2;0;1;1;0;0;0;0;2;0;1;1;0;0;0;0;5;5;1;4
23;15;2;0;1;1;0;0;0;0;4;0;1;1;0;0;0;0;1;4;2;4
23;29;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;4;2;4
23;30;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;0;4
26;25;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;4
26;24;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;3
26;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;;1;4
26;14;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;2;4
26;22;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;4;2;4
26;47;2;1;1;0;0;0;1;0;2;1;1;0;0;0;0;0;;4;2;4
26;48;2;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;1;4;2;4
26;49;2;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;1;4;2;4
26;50;2;1;1;0;0;0;0;0;2;1;1;0;0;0;0;0;1;4;2;4
27;14;2;0;1;0;0;0;1;1;3;0;1;0;0;0;1;0;4;5;2;4
27;10;4;1;0;1;0;0;0;0;5;1;0;1;0;0;0;0;2;4;4;4
27;55;2;0;1;0;0;0;1;1;4;1;1;1;0;0;0;0;2;4;3;5
27;13;2;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;2;4;2;4
27;1;2;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;4;4;2;4
27;51;2;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;3;2;5
28;14;3;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;5;4;2;5
28;27;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;4;0;4
28;52;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;3;2;5
28;53;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;3;2;5
